PBANKA_020580	PF3D7_0821100
PF3D7_1360500	PBANKA_1136700
PF3D7_0504000	PBANKA_0211900
PF3D7_0803400	PBANKA_1226800
PF3D7_1205800	PBANKA_0604500
PF3D7_0826300	PBANKA_0704300
PBANKA_1130000	PF3D7_1353400
PBANKA_1114600	PF3D7_0515000
PF3D7_1440200	PBANKA_1304200
PF3D7_1331700	PBANKA_1346600
PBANKA_0703000	PF3D7_0827700
PF3D7_0511500	PBANKA_1111000
PBANKA_1406700	PF3D7_1308200
PF3D7_1414500	PBANKA_1028200
PBANKA_1417800	PF3D7_1319300
PF3D7_0925800	PBANKA_0826600
PFC10_API0060	PBANKA_API00206
PF3D7_1132600	PBANKA_0915800
PBANKA_0209200	PF3D7_0103900
PF3D7_1437200	PBANKA_0611600
PF3D7_0905700.1	PBANKA_0415700
PF3D7_0905700.2	PBANKA_0415700
PF3D7_1457500	PBANKA_1321200
PBANKA_API00150	PFC10_API0015
PBANKA_0209500	PF3D7_0103600
PF3D7_0904300	PBANKA_0417100
PF3D7_0710000	PBANKA_1220600
PBANKA_1006200	PF3D7_0408600
PF3D7_0926500	PBANKA_0827300
PBANKA_0621200	PF3D7_0723700
PBANKA_1023000	PF3D7_1423100
PBANKA_1211900	PF3D7_1013500
PF3D7_1417200	PBANKA_1025500
PBANKA_0303100	PF3D7_0418200
PF3D7_1420200	PBANKA_1023000
PF3D7_0724800	PBANKA_0622300
PBANKA_0610100	PF3D7_1211600
PF3D7_1123800	PBANKA_1240000
PF3D7_1038300	PBANKA_0521200
PBANKA_0516200	PF3D7_1032400
PBANKA_0705500	PF3D7_0825100
PF3D7_0728900	PBANKA_0213000
